@,image,title,value,suit1,suit2,suit3,suit1b,suit2b,suit3b,suit1[style:fill],suit2[style:fill],suit3[style:fill],suit1b[style:fill],suit2b[style:fill],suit3b[style:fill],description
border,E:\decktet\img\the author.png,the AUTHOR,2,A,F,,a,f,,#000000,#000000,#000000,#c8c7c8,#ebf04b,,"The Author is an artisan, like the Painter and the Bard. The important difference between them is their relation to the facts that they present. As a Moon card, the Author faces mysteries. So the Author is a character of investigation, enquiry, and at most partial answers. "
border,E:\decktet\img\the origin.png,|^the ORIGIN,2,C,D,,c,d,,#000000,#000000,#000000,#8cb8e6,#b6804e,,"Morning light shines through clear water. The Origin can appear as either a location or an event. As an event, it is morning light. As a location, it is a living spring. "
border,E:\decktet\img\the desert.png,|the DESERT,2,B,E,,b,e,,#000000,#000000,#000000,#f68312,#51bf49,,"Barren and without life, the Desert offers a certain grim clarity. Yet clarity might itself be a mirage. "
border,E:\decktet\img\the savage.png,the SAVAGE,3,D,E,,d,e,,#000000,#000000,#000000,#b6804e,#51bf49,,"Even if the Savage presents a pleasant face, the wild lurks in his heart. "
border,E:\decktet\img\the painter.png,the PAINTER,3,B,F,,b,f,,#000000,#000000,#000000,#f68312,#ebf04b,,The Painter is a figure of revelation. The Painter sees through posturing and portrays things as they need to be portrayed. 
border,E:\decktet\img\the journey.png,^the JOURNEY,3,A,C,,a,c,,#000000,#000000,#000000,#c8c7c8,#8cb8e6,,"The Journey is in between. It is its own story, written between departure and arrival. "
border,E:\decktet\img\the battle.png,^the BATTLE,4,E,F,,e,f,,#000000,#000000,#000000,#51bf49,#ebf04b,,Struggle with forces that are half in shadow. It is not always obvious what those forces are until they have done their worst. 
border,E:\decktet\img\the mountain.png,|the MOUNTAIN,4,A,B,,a,b,,#000000,#000000,#000000,#c8c7c8,#f68312,,"A quest leads to the peak. Especially if the Mountain appears in a spread with the Journey, to the peak may be more important than at the peak. "
border,E:\decktet\img\the sailor.png,the SAILOR,4,C,D,,c,d,,#000000,#000000,#000000,#8cb8e6,#b6804e,,"On the wall of the sailor's house: He is not at home at home. The Sailor is a traveller by nature, uneasy when not underway. "
border,E:\decktet\img\the discovery.png,^the DISCOVERY,5,B,C,,b,c,,#000000,#000000,#000000,#f68312,#8cb8e6,,Something buried or lost is found. The Discovery may be the end of a quest or as surprising as a sudden storm. 
border,E:\decktet\img\the soldier.png,the SOLDIER,5,E,F,,e,f,,#000000,#000000,#000000,#51bf49,#ebf04b,,"Like words to the Author or money to the Merchant, war is craft to the Soldier. Although the conflict might not be a literal war, the Soldier lives for it. The soldier's craft is wrought in stillness and motion. Of all the personalities, the Soldier shows the least difference between its two faces. "
border,E:\decktet\img\the forest.png,|the FOREST,5,A,D,,a,d,,#000000,#000000,#000000,#c8c7c8,#b6804e,,"The Forest is usually a literal card representing a forest or wooded place. In a crowded city, however, sometimes even a single tree can be a forest. "
border,E:\decktet\img\the market.png,|^the MARKET,6,D,F,,d,f,,#000000,#000000,#000000,#b6804e,#ebf04b,,"The Market can appear as either a location or an event. As a location, the Market is a place of trade. As an event, the Market is commerce. Unlike the Pact, it does not suggest a great confluence; an exchange, and the matter is resolved. "
border,E:\decktet\img\the penitent.png,the PENITENT,6,B,E,,b,e,,#000000,#000000,#000000,#f68312,#51bf49,,A higher calling hides a darker past. Redemption is never entirely complete for the Penitent. 
border,E:\decktet\img\the lunatic.png,the LUNATIC,6,A,C,,a,c,,#000000,#000000,#000000,#c8c7c8,#8cb8e6,,"The Lunatic sees things that no one else sees. Perhaps these are deeper truths, perhaps they are delusions. Watch the great tumult around her. "
border,E:\decktet\img\the chance meeting.png,^the CHANCE MEETING,7,A,D,,a,d,,#000000,#000000,#000000,#c8c7c8,#b6804e,,Two stories half-written find themselves writing one another. The Chance Meeting is a card of possibilities. 
border,E:\decktet\img\the castle.png,|the CASTLE,7,B,F,,b,f,,#000000,#000000,#000000,#f68312,#ebf04b,,"The Castle is a community. It is a place of civility or power, but only rarely of both. "
border,E:\decktet\img\the cave.png,|the CAVE,7,C,E,,c,e,,#000000,#000000,#000000,#8cb8e6,#51bf49,,"It is home to grim things and a place of challenges. Things that fall below the surface may be found in the Cave, even if they were long thought lost or destroyed. To enter and return from it once should be enough. "
border,E:\decktet\img\the betrayal.png,^the BETRAYAL,8,E,F,,e,f,,#000000,#000000,#000000,#51bf49,#ebf04b,,Even a soft hand can wield a sharp knife. This is a time to be wary. 
border,E:\decktet\img\the diplomat.png,the DIPLOMAT,8,A,B,,a,b,,#000000,#000000,#000000,#c8c7c8,#f68312,,"The Diplomat mediates between opposites: darkness and light, patience and action, the one and the many. "
border,E:\decktet\img\the mill.png,|the MILL,8,C,D,,c,d,,#000000,#000000,#000000,#8cb8e6,#b6804e,,The Mill is a place of craft and production. The tuneless song of the miller is lost in the roar of the water and the ceaseless turning of the wheel. 
border,E:\decktet\img\the pact.png,^the PACT,9,A,B,,a,b,,#000000,#000000,#000000,#c8c7c8,#f68312,,"When the two kings agree, the stones themselves agree. Even a Pact between just two parties has ramifications for the community and the broader world. "
border,E:\decktet\img\the merchant.png,the MERCHANT,9,D,F,,d,f,,#000000,#000000,#000000,#b6804e,#ebf04b,,"For the Merchant, wealth is its own end. The Merchant amasses riches, but worries all the while about losing them. "
